"otu","class","order","family","genus","species"
"R1240.70__Insecta_Diptera_Syrphidae_Blera_scitula_BOLD_ABY7981_size.998","Insecta","Diptera","Syrphidae","Blera","NA"
"R4069.6__Insecta_Diptera_Rhagionidae_NA_NA_BOLD_ACX1094_size.14821","Insecta","Diptera","Rhagionidae","NA","NA"
"R7337__Insecta_Diptera_Syrphidae_Milesia_pulchra_BOLD_AAY9056_size.62348","Insecta","Diptera","Syrphidae","Milesia","NA"
"R2420__Insecta_Hymenoptera_Vespidae_Dolichovespula_maculata_BOLD_AAB6388_size.239475","Insecta","Hymenoptera","Vespidae","Dolichovespula","NA"
"R1940.70__Insecta_Diptera_Rhagionidae_Symphoromyia_NA_BOLD_AAP9925_size.210","Insecta","Diptera","Rhagionidae","Symphoromyia","NA"
"R2516.69__Insecta_Diptera_Rhagionidae_Symphoromyia_NA_BOLD_ACY3832_size.556","Insecta","Diptera","Rhagionidae","Symphoromyia","NA"
"R2033.69__Insecta_Diptera_Rhagionidae_Symphoromyia_NA_BOLD_AAH2949_size.191","Insecta","Diptera","Rhagionidae","Symphoromyia","NA"
"R3842.2__Insecta_Hymenoptera_Vespidae_Eumenes_consobrinus_BOLD_AAG9053_size.3920","Insecta","Hymenoptera","Vespidae","Eumenes","NA"
"R2002.2__Arachnida_Araneae_Gnaphosidae_Orodrassus_canadensis_BOLD_ACD2419_size.31","Arachnida","Araneae","Gnaphosidae","Orodrassus","NA"
"R4278.5__Insecta_Raphidioptera_Raphidiidae_Agulla_NA_BOLD_ACA6997_size.2491","Insecta","Raphidioptera","Raphidiidae","Agulla","NA"
"R3631.18__Insecta_Diptera_Asilidae_Coleomyia_NA_BOLD_ABV9527_size.401","Insecta","Diptera","Asilidae","Coleomyia","NA"
"R5123.57__Insecta_Diptera_Rhagionidae_NA_NA_BOLD_ACU3161_size.353","Insecta","Diptera","Rhagionidae","NA","NA"
"R6630.2__Insecta_Psocodea_Dasydemellidae_Teliapsocus_conterminus_BOLD_AAP4627_size.5126","Insecta","Psocodea","Dasydemellidae","Teliapsocus","NA"
"R9119__Insecta_Diptera_Muscidae_Phaonia_nigricauda_BOLD_AAP6480_size.1261","Insecta","Diptera","Muscidae","Phaonia","NA"
"R4091.6__Insecta_Diptera_Asilidae_Nevadasilus_NA_BOLD_AAH2298_size.3235","Insecta","Diptera","Asilidae","Nevadasilus","NA"
"R3138.89__Insecta_Diptera_Piophilidae_Mycetaulus_NA_BOLD_AAP6246_size.66","Insecta","Diptera","Piophilidae","Mycetaulus","NA"
"R3514.29__Insecta_Diptera_Simuliidae_Prosimulium_NA_BOLD_AAA1296_size.34","Insecta","Diptera","Simuliidae","Prosimulium","NA"
"R2775.3__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACI9191_size.2219","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R4099.21__Arachnida_Araneae_Philodromidae_Philodromus_oneida_BOLD_AAN9004_size.80","Arachnida","Araneae","Philodromidae","Philodromus","NA"
"R4943.5__Insecta_Coleoptera_Scraptiidae_Anaspis_rufa_BOLD_AAP7041_size.1929","Insecta","Coleoptera","Scraptiidae","Anaspis","NA"
"R4774.5__Insecta_Coleoptera_Elateridae_Hemicrepidius_NA_BOLD_ACJ3091_size.314","Insecta","Coleoptera","Elateridae","Hemicrepidius","NA"
"R2501.67__Insecta_Hymenoptera_Braconidae_Coeloides_NA_BOLD_ACX1944_size.14","Insecta","Hymenoptera","Braconidae","Coeloides","NA"
"R5669.21__Insecta_Hemiptera_NA_NA_NA_BOLD_AAZ3083_size.108","Insecta","Hemiptera","NA","NA","NA"
"R5713.14__Insecta_Diptera_Syrphidae_Parasyrphus_relictus_BOLD_AAL3233_size.1357","Insecta","Diptera","Syrphidae","Parasyrphus","NA"
"R1996.72__Arachnida_Araneae_Clubionidae_Clubiona_NA_BOLD_AAB2563_size.382","Arachnida","Araneae","Clubionidae","Clubiona","NA"
"R2600.137__Insecta_Hemiptera_NA_NA_NA_BOLD_ABX4533_size.8","Insecta","Hemiptera","NA","NA","NA"
"R9361.2__Insecta_Hemiptera_Miridae_NA_NA_BOLD_ACC4475_size.186","Insecta","Hemiptera","Miridae","NA","NA"
"R4490.7__Insecta_Coleoptera_Elateridae_Pseudanostirus_propolus_BOLD_ACG1380_size.65","Insecta","Coleoptera","Elateridae","Pseudanostirus","NA"
"R4594.38__Insecta_Diptera_Piophilidae_Mycetaulus_NA_BOLD_AAP7658_size.77","Insecta","Diptera","Piophilidae","Mycetaulus","NA"
"R5508.8__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_AAM6113_size.700","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R1778.25__Insecta_Coleoptera_Cerambycidae_Pidonia_scripta_BOLD_AAD6095_size.71","Insecta","Coleoptera","Cerambycidae","Pidonia","NA"
"R1583.112__Insecta_Diptera_Sphaeroceridae_NA_NA_BOLD_ACP8985_size.2","Insecta","Diptera","Sphaeroceridae","NA","NA"
"R9147.3__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACC6221_size.13","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R6623.2__Insecta_Neuroptera_Hemerobiidae_Hemerobius_discretus_BOLD_ABZ0149_size.2910","Insecta","Neuroptera","Hemerobiidae","Hemerobius","NA"
"R7935.15__Insecta_Hymenoptera_Formicidae_Formica_pacifica_BOLD_AAI5674_size.84","Insecta","Hymenoptera","Formicidae","Formica","NA"
"R727.70__Insecta_Diptera_Heleomyzidae_Suillia_NA_BOLD_ACD3130_size.493","Insecta","Diptera","Heleomyzidae","Suillia","NA"
"R3062.20__Insecta_Diptera_Mycetophilidae_Cordyla_NA_BOLD_ABW9771_size.1183","Insecta","Diptera","Mycetophilidae","Cordyla","NA"
"R992.70__Insecta_Hemiptera_Aphididae_NA_NA_BOLD_ACU7326_size.166","Insecta","Hemiptera","Aphididae","NA","NA"
"R6085.4__Insecta_Diptera_Mycetophilidae_NA_NA_BOLD_ACS9352_size.1529","Insecta","Diptera","Mycetophilidae","NA","NA"
"R538.70__Insecta_Hemiptera_Cicadellidae_NA_NA_BOLD_ACU7499_size.137","Insecta","Hemiptera","Cicadellidae","NA","NA"
"R964.70__Insecta_Psocodea_Caeciliusidae_Valenzuela_NA_BOLD_AAP4636_size.56","Insecta","Psocodea","Caeciliusidae","Valenzuela","NA"
"R6022.20__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_ACI9068_size.585","Insecta","Diptera","Keroplatidae","NA","NA"
"R4083.33__Insecta_Hemiptera_Cicadellidae_Empoasca_NA_BOLD_AAN5445_size.168","Insecta","Hemiptera","Cicadellidae","Empoasca","NA"
"R8520.8__Insecta_Psocodea_Lachesillidae_Lachesilla_NA_BOLD_ACB8951_size.66","Insecta","Psocodea","Lachesillidae","Lachesilla","NA"
"R1226.70__Insecta_Hymenoptera_Pteromalidae_NA_NA_BOLD_ACJ0781_size.92","Insecta","Hymenoptera","Pteromalidae","NA","NA"
"R9908.2__Insecta_Hymenoptera_Diapriidae_NA_NA_BOLD_ACI9478_size.84","Insecta","Hymenoptera","Diapriidae","NA","NA"
"R5452.8__Insecta_Diptera_Mycetophilidae_Novakia_NA_BOLD_AAP9075_size.10","Insecta","Diptera","Mycetophilidae","Novakia","NA"
"R608__Insecta_Hymenoptera_Vespidae_Dolichovespula_arenaria_BOLD_AAC0675_size.92920","Insecta","Hymenoptera","Vespidae","Dolichovespula","NA"
"R1__Insecta_Diptera_Tabanidae_Hybomitra_rhombica_BOLD_AAG4571_size.14764","Insecta","Diptera","Tabanidae","Hybomitra","NA"
"R1631.2__Insecta_Coleoptera_Cerambycidae_Leptura_obliterata_BOLD_AAG5563_size.32225","Insecta","Coleoptera","Cerambycidae","Leptura","NA"
"R1904.2__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACE8616_size.791","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R3500.3__Insecta_Hymenoptera_Apidae_Bombus_sitkensis_BOLD_ACU8557_size.1191","Insecta","Hymenoptera","Apidae","Bombus","NA"
"R1798.25__Insecta_Coleoptera_Cerambycidae_Xestoleptura_NA_BOLD_AAB9227_size.292","Insecta","Coleoptera","Cerambycidae","Xestoleptura","NA"
"R3540.4__Insecta_Lepidoptera_Geometridae_Ceratodalia_gueneata_BOLD_AAA5705_size.21947","Insecta","Lepidoptera","Geometridae","Ceratodalia","NA"
"R1733.25__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACF5187_size.90","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R8220.14__Insecta_Diptera_Dryomyzidae_Paradryomyza_NA_BOLD_AAI6087_size.139","Insecta","Diptera","Dryomyzidae","Paradryomyza","NA"
"R5007.18__Insecta_Diptera_Limoniidae_NA_NA_BOLD_AAV1806_size.331","Insecta","Diptera","Limoniidae","NA","NA"
"R3869.44__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ABY7035_size.576","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R4409__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_ACJ0826_size.2301","Insecta","Diptera","Keroplatidae","NA","NA"
"R10098__Insecta_Diptera_Mycetophilidae_Mycomya_NA_BOLD_ACJ6978_size.215","Insecta","Diptera","Mycetophilidae","Mycomya","NA"
"R4175.16__Insecta_Neuroptera_Hemerobiidae_Hemerobius_pacificus_BOLD_AAM7043_size.72","Insecta","Neuroptera","Hemerobiidae","Hemerobius","NA"
"R5526.10__Insecta_Coleoptera_NA_NA_NA_BOLD_ACI9871_size.503","Insecta","Coleoptera","NA","NA","NA"
"R1510.25__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACG6791_size.39","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R2833.3__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACG4506_size.666","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R7357.2__Insecta_Hymenoptera_Formicidae_Camponotus_modoc_BOLD_AAC9538_size.846","Insecta","Hymenoptera","Formicidae","Camponotus","NA"
"R1891.25__Insecta_Hymenoptera_Apidae_Bombus_sitkensis_BOLD_AAI4757_size.45","Insecta","Hymenoptera","Apidae","Bombus","NA"
